Variable,Total,,Variable,Death Total,,Variable,Rehosp Total,,Variable,Readmis Total,
 RAP_D,5,, RAP_B,2,, PAD_B,2,, MIXED_B,2,
 MIXED_B,4,, PCWPMod_B,2,, PCWPMN_B,2,, RATHemo_Chg,2,
 MPAP_D,4,, RAP_D,2,, MIXED_B,2,, SVR_Chg,2,
 BPSYS_Chg,4,, BPSYS_Chg,2,, PP_B,2,, RAT_Chg,2,
 PAD_B,3,, PAMN_B,1,, PPRatio_B,2,, PCWPA_B,1,
 CO_B,3,, PCWP_B,1,, RAP_D,2,, BPSYS_B,1,
 BPSYS_B,3,, CO_B,1,, PAD_D,2,, RAP_D,1,
 PAS_D,3,, BPSYS_B,1,, PAMN_D,2,, PCWPA_D,1,
 PAD_D,3,, HRTRT_B,1,, PCWP_D,2,, SVR_D,1,
 PAMN_D,3,, RATHemo_B,1,, PCWPMN_D,2,, RAP_B,0,
 RATHemo_D,3,, MAP_B,1,, MPAP_D,2,, PAS_B,0,
 CPI_D,3,, RAT_B,1,, PAS_B,1,, PAD_B,0,
 RAT_D,3,, PAS_D,1,, PCWPA_B,1,, PAMN_B,0,
 SVR_Chg,3,, PAD_D,1,, CO_B,1,, PCWP_B,0,
 RAP_B,2,, PAMN_D,1,, SVRHemo_B,1,, PCWPMod_B,0,
 PAS_B,2,, PCWPMod_D,1,, BPSYS_B,1,, PCWPMN_B,0,
 PCWPMod_B,2,, CI_D,1,, BPDIAS_B,1,, CO_B,0,
 PCWPA_B,2,, SVRHemo_D,1,, MAP_B,1,, CI_B,0,
 PCWPMN_B,2,, MIXED_D,1,, MPAP_B,1,, SVRHemo_B,0,
 SVRHemo_B,2,, RATHemo_D,1,, PPP_B,1,, BPDIAS_B,0,
 BPDIAS_B,2,, MPAP_D,1,, PAPP_B,1,, HRTRT_B,0,
 MAP_B,2,, CPI_D,1,, PAS_D,1,, RATHemo_B,0,
 MPAP_B,2,, RAT_D,1,, PCWPMod_D,1,, MAP_B,0,
 PP_B,2,, PAMN_Chg,1,, BPSYS_D,1,, MPAP_B,0,
 PPP_B,2,, PAS_B,0,, RATHemo_D,1,, CPI_B,0,
 PPRatio_B,2,, PAD_B,0,, CPI_D,1,, PP_B,0,
 PCWP_D,2,, PCWPA_B,0,, PP_D,1,, PPP_B,0,
 PCWPMod_D,2,, PCWPMN_B,0,, PPP_D,1,, PAPP_B,0,
 PCWPA_D,2,, CI_B,0,, RAT_D,1,, SVR_B,0,
 PCWPMN_D,2,, SVRHemo_B,0,, PAS_Chg,1,, RAT_B,0,
 CI_D,2,, MIXED_B,0,, CO_Chg,1,, PPRatio_B,0,
 PAS_Chg,2,, BPDIAS_B,0,, CI_Chg,1,, PAS_D,0,
 PAMN_Chg,2,, MPAP_B,0,, BPSYS_Chg,1,, PAD_D,0,
 CO_Chg,2,, CPI_B,0,, PP_Chg,1,, PAMN_D,0,
 CI_Chg,2,, PP_B,0,, PAPP_Chg,1,, PCWP_D,0,
 RATHemo_Chg,2,, PPP_B,0,, PPRatio_Chg,1,, PCWPMod_D,0,
 PAPP_Chg,2,, PAPP_B,0,, RAP_B,0,, PCWPMN_D,0,
 RAT_Chg,2,, SVR_B,0,, PAMN_B,0,, CO_D,0,
 PAMN_B,1,, PPRatio_B,0,, PCWP_B,0,, CI_D,0,
 PCWP_B,1,, PCWP_D,0,, PCWPMod_B,0,, SVRHemo_D,0,
 CI_B,1,, PCWPA_D,0,, CI_B,0,, MIXED_D,0,
 HRTRT_B,1,, PCWPMN_D,0,, HRTRT_B,0,, BPSYS_D,0,
 RATHemo_B,1,, CO_D,0,, RATHemo_B,0,, BPDIAS_D,0,
 CPI_B,1,, BPSYS_D,0,, CPI_B,0,, HRTRT_D,0,
 PAPP_B,1,, BPDIAS_D,0,, SVR_B,0,, RATHemo_D,0,
 SVR_B,1,, HRTRT_D,0,, RAT_B,0,, MAP_D,0,
 RAT_B,1,, MAP_D,0,, PCWPA_D,0,, MPAP_D,0,
 CO_D,1,, PP_D,0,, CO_D,0,, CPI_D,0,
 SVRHemo_D,1,, PPP_D,0,, CI_D,0,, PP_D,0,
 MIXED_D,1,, PAPP_D,0,, SVRHemo_D,0,, PPP_D,0,
 BPSYS_D,1,, SVR_D,0,, MIXED_D,0,, PAPP_D,0,
 PP_D,1,, PPRatio_D,0,, BPDIAS_D,0,, RAT_D,0,
 PPP_D,1,, RAP_Chg,0,, HRTRT_D,0,, PPRatio_D,0,
 PAPP_D,1,, PAS_Chg,0,, MAP_D,0,, RAP_Chg,0,
 SVR_D,1,, PAD_Chg,0,, PAPP_D,0,, PAS_Chg,0,
 RAP_Chg,1,, PCWP_Chg,0,, SVR_D,0,, PAD_Chg,0,
 PAD_Chg,1,, PCWPMod_Chg,0,, PPRatio_D,0,, PAMN_Chg,0,
 PCWP_Chg,1,, PCWPA_Chg,0,, RAP_Chg,0,, PCWP_Chg,0,
 PCWPMod_Chg,1,, PCWPMN_Chg,0,, PAD_Chg,0,, PCWPMod_Chg,0,
 PCWPA_Chg,1,, CO_Chg,0,, PAMN_Chg,0,, PCWPA_Chg,0,
 SVRHemo_Chg,1,, CI_Chg,0,, PCWP_Chg,0,, PCWPMN_Chg,0,
 BPDIAS_Chg,1,, SVRHemo_Chg,0,, PCWPMod_Chg,0,, CO_Chg,0,
 MAP_Chg,1,, MIXED_Chg,0,, PCWPA_Chg,0,, CI_Chg,0,
 MPAP_Chg,1,, BPDIAS_Chg,0,, PCWPMN_Chg,0,, SVRHemo_Chg,0,
 CPI_Chg,1,, HRTRT_Chg,0,, SVRHemo_Chg,0,, MIXED_Chg,0,
 PP_Chg,1,, RATHemo_Chg,0,, MIXED_Chg,0,, BPSYS_Chg,0,
 PPRatio_Chg,1,, MAP_Chg,0,, BPDIAS_Chg,0,, BPDIAS_Chg,0,
 BPDIAS_D,0,, MPAP_Chg,0,, HRTRT_Chg,0,, HRTRT_Chg,0,
 HRTRT_D,0,, CPI_Chg,0,, RATHemo_Chg,0,, MAP_Chg,0,
 MAP_D,0,, PP_Chg,0,, MAP_Chg,0,, MPAP_Chg,0,
 PPRatio_D,0,, PPP_Chg,0,, MPAP_Chg,0,, CPI_Chg,0,
 PCWPMN_Chg,0,, PAPP_Chg,0,, CPI_Chg,0,, PP_Chg,0,
 MIXED_Chg,0,, SVR_Chg,0,, PPP_Chg,0,, PPP_Chg,0,
 HRTRT_Chg,0,, RAT_Chg,0,, SVR_Chg,0,, PAPP_Chg,0,
 PPP_Chg,0,, PPRatio_Chg,0,, RAT_Chg,0,, PPRatio_Chg,0,